Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
($millions)","Revenue
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/22 ($m)"
539,Cerner,"25,150",-49,"$5,765",4.70%,$555.60,-28.80%,"$7,434","$27,492"
540,Levi Strauss,"16,600",40,"$5,764",29.50%,$553.50,-,"$5,900","$7,875"
541,Tapestry,"14,250",-13,"$5,746",15.80%,$834.20,-,"$8,382","$9,807"
542,NetApp,"11,000",-45,"$5,744",6.10%,$730.00,-10.90%,"$9,360","$18,471"
543,KB Home,"2,244",60,"$5,725",36.90%,$564.70,90.60%,"$5,836","$2,858"
544,Continental Resources,"1,254",274,"$5,719",121.10%,"$1,661.00",-,"$18,591","$22,342"
545,Intuitive Surgical,"9,793",46,"$5,710",31.00%,"$1,704.60",60.70%,"$13,555","$108,362"
546,Under Armour,"12,300",32,"$5,684",27.00%,$360.10,-,"$4,991","$7,712"
547,MDU Resources Group,"12,826",-61,"$5,681",2.70%,$378.10,-3.10%,"$8,910","$5,419"
548,Silgan Holdings,"15,720",-18,"$5,677",15.30%,$359.10,16.30%,"$7,771","$5,104"
549,Ryerson Holding,"4,000",127,"$5,675",63.70%,$294.30,-,"$2,366","$1,345"
550,Ingersoll Rand,"16,000",-17,"$5,655",15.20%,$562.50,-,"$15,155","$20,541"
551,Hologic,"6,705",90,"$5,632",49.10%,"$1,871.50",67.80%,"$8,920","$19,305"
552,Electronic Arts,"11,000",-67,"$5,629",1.70%,$837.00,-72.50%,"$13,288","$35,577"
553,Zebra Technologies,"9,800",28,"$5,627",26.50%,$837.00,66.10%,"$6,215","$21,959"
554,Coty,"11,430",-128,"$5,616",-16.60%,-$201.30,-,"$13,691","$7,541"
555,Schneider National,"17,050",10,"$5,609",23.20%,$405.40,91.50%,"$3,937","$4,552"
556,Sonoco Products,"20,500",-45,"$5,590",6.70%,-$85.50,-141.20%,"$5,073","$6,099"
557,Concentrix,"290,000",-,"$5,587",-,$405.60,-,"$5,046","$8,605"
558,Evergy,"4,930",-26,"$5,587",13.70%,$879.70,42.30%,"$28,521","$15,513"
559,Cornerstone Building Brands,"21,700",-2,"$5,583",20.90%,$665.90,-,"$5,828","$3,089"
560,Coca-Cola Consolidated,"15,050",-34,"$5,563",11.10%,$189.60,9.90%,"$3,446","$4,657"
561,Greif,"16,000",11,"$5,556",23.10%,$390.70,259.10%,"$5,816","$3,134"
562,Vulcan Materials,"11,912",-23,"$5,552",14.30%,$670.80,14.80%,"$13,683","$24,413"
563,Ametek,"18,500",3,"$5,547",22.20%,$990.10,13.50%,"$11,898","$30,787"
564,Monster Beverage,"3,775",-2,"$5,541",20.50%,"$1,377.50",-2.30%,"$7,805","$42,296"
565,Sealed Air,"16,500",-31,"$5,534",12.90%,$506.80,0.80%,"$6,229","$9,921"
566,NOV,"27,043",-109,"$5,524",-9.30%,-$250.00,-,"$9,550","$7,700"
567,Las Vegas Sands,"44,600",87,"$5,505",52.40%,-$961.00,-,"$20,059","$29,696"
568,Martin Marietta Materials,"10,000",-22,"$5,493",16.10%,$702.50,-2.60%,"$14,393","$24,015"
569,Marathon Oil,"1,531",164,"$5,467",77.20%,$946.00,-,"$16,994","$18,350"
570,Mattel,"36,300",-7,"$5,458",19.10%,$903.00,613.10%,"$6,394","$7,823"
571,Microchip Technology,"19,500",-66,"$5,438",3.10%,$349.40,-38.80%,"$16,479","$41,777"
572,Harley-Davidson,"5,800",42,"$5,336",31.60%,$650.00,49978.90%,"$11,051","$6,063"
573,Telephone & Data Systems,"8,800",-61,"$5,329",2.00%,$156.00,-31.00%,"$13,493","$2,163"
574,ADT,"25,000",-70,"$5,307",-0.10%,-$340.80,-,"$16,894","$6,843"
575,First Republic Bank,"6,295",-1,"$5,305",17.70%,"$1,478.00",38.90%,"$181,087","$29,114"
576,Warner Music Group,"5,900",3,"$5,301",18.80%,$304.00,-,"$7,211","$19,486"
577,Pool,"5,650",47,"$5,296",34.50%,$650.60,77.40%,"$3,230","$16,967"
578,Old Dominion Freight Line,"23,663",41,"$5,256",30.90%,"$1,034.40",53.80%,"$4,822","$34,308"
579,Fortive,"18,000",-23,"$5,255",13.40%,$608.40,-62.30%,"$16,466","$21,878"
580,MDC Holdings,"2,080",49,"$5,255",34.70%,$573.70,56.10%,"$4,964","$2,693"
581,NGL Energy Partners,997,-430,"$5,243",-73.50%,-$639.80,-,"$5,947",$289
582,Edwards Lifesciences,"15,700",7,"$5,233",19.30%,"$1,503.10",82.50%,"$8,503","$73,141"
583,Hanover Insurance Group,"4,400",-41,"$5,228",8.30%,$418.70,16.70%,"$14,254","$5,318"
584,Syneos Health,"27,443",2,"$5,213",18.10%,$234.80,21.80%,"$8,237","$8,437"
585,Xylem,"16,700",-47,"$5,195",6.50%,$427.00,68.10%,"$8,276","$15,355"
586,Church & Dwight,"5,100",-51,"$5,190",6.00%,$827.50,5.30%,"$7,997","$24,119"
587,American Axle & Manufacturing,"18,000",-40,"$5,157",9.50%,$5.90,-,"$5,636",$888
588,Meritage Homes,"1,773",-11,"$5,141",14.20%,$737.40,74.10%,"$4,808","$2,907"
589,Workday,"15,200",5,"$5,139",19.00%,$29.40,-,"$10,499","$60,583"
590,Rush Enterprises,"7,141",-45,"$5,126",8.20%,$241.40,110.10%,"$3,120","$2,789"
591,Yellow,"32,000",-18,"$5,122",13.50%,-$109.10,-,"$2,426",$360
592,Encompass Health,"35,681",-38,"$5,122",10.30%,$412.20,45.00%,"$6,865","$7,071"
593,Simon Property Group,"2,850",-33,"$5,117",11.10%,"$2,249.60",102.20%,"$33,777","$43,198"
594,Globe Life,"3,222",-50,"$5,113",7.90%,$745.00,1.80%,"$29,768","$9,977"
595,Skyworks Solutions,"10,945",95,"$5,109",52.30%,"$1,498.30",83.90%,"$8,591","$21,548"
596,Endeavor Group Holdings,"7,700",78,"$5,078",46.00%,-$296.60,-,"$11,435","$20,363"
597,Twitter,"7,500",50,"$5,078",36.60%,-$221.40,-,"$14,060","$30,977"
598,Leggett & Platt,"20,300",-,"$5,073",18.50%,$402.40,62.50%,"$5,307","$4,659"
599,Western Union,"10,500",-58,"$5,071",4.90%,$805.80,8.30%,"$8,824","$7,375"
600,PerkinElmer,"16,700",39,"$5,067",34.00%,$943.20,29.60%,"$15,001","$22,009"
601,SS&C Technologies Holdings,"24,900",-49,"$5,051",8.20%,$800.00,28.00%,"$17,333","$19,235"
602,CUNA Mutual Group,"4,100",13,"$5,050",24.70%,$622.30,327.70%,"$44,345",-
603,FMC,"6,400",-48,"$5,045",8.70%,$736.50,33.50%,"$10,581","$16,564"
604,Carlisle,"11,250",-5,"$5,030",18.50%,$421.70,31.70%,"$7,247","$12,805"
605,American Eagle Outfitters,"24,000",37,"$5,011",33.30%,$419.60,-,"$3,787","$2,837"
606,Core & Main,"4,100",-,"$5,004",37.40%,$166.00,348.60%,"$4,434","$5,949"
607,Vertiv Holdings,"24,000",-17,"$4,998",14.40%,$119.60,-,"$6,940","$5,264"
608,Broadridge Financial Solutions,"13,704",-40,"$4,994",10.30%,$547.50,18.40%,"$8,120","$18,183"
609,Ingles Markets,"18,460",-50,"$4,988",8.20%,$249.70,39.80%,"$2,018","$1,691"
610,TPG,"1,013",-,"$4,976",135.30%,"$2,180.90",198.10%,"$8,962","$9,305"
611,Insperity,"3,600",-14,"$4,973",16.00%,$124.10,-10.20%,"$1,753","$3,850"
612,Howmet Aerospace,"19,900",-105,"$4,972",-5.50%,$258.00,-1.10%,"$10,219","$15,055"
613,R.R. Donnelley & Sons,"32,000",-114,"$4,964",-8.10%,$3.70,-96.20%,"$3,131",-
614,Keysight Technologies,"14,300",-13,"$4,941",17.10%,$894.00,42.60%,"$7,781","$28,747"
615,Tempur Sealy International,"12,000",37,"$4,931",34.10%,$624.50,79.00%,"$4,323","$4,998"
616,Scotts Miracle-Gro,"8,050",-9,"$4,925",19.20%,$512.50,32.30%,"$4,800","$6,835"
617,Equifax,"12,700",-9,"$4,924",19.30%,$744.20,43.10%,"$11,041","$29,142"
618,Kelly Services,"7,400",-47,"$4,910",8.70%,$156.10,-,"$2,894",$856
619,NiSource,"7,307",-70,"$4,900",4.70%,$584.90,-,"$24,157","$12,891"
620,OneMain Holdings,"8,800",-84,"$4,895",-,"$1,314.00",80.00%,"$22,079","$6,043"
621,DoorDash,"8,600",148,"$4,888",69.40%,-$468.00,-,"$6,809","$40,830"
622,Avient,"8,700",80,"$4,819",48.60%,$230.80,75.40%,"$4,997","$4,388"
623,Sanderson Farms,"17,662",39,"$4,800",34.70%,$455.10,1509.60%,"$2,345","$4,185"
624,TransDigm Group,"13,300",-108,"$4,798",-7.40%,$680.00,-2.70%,"$19,315","$36,136"
625,Stifel Financial,"8,600",8,"$4,783",25.30%,$824.90,63.80%,"$34,050","$7,226"
626,JELD-WEN Holding,"24,700",-26,"$4,772",12.70%,$168.80,84.30%,"$3,739","$1,826"
627,Ares Management,"2,100",-,"$4,771",122.80%,$408.80,168.70%,"$21,605","$23,821"
628,Elanco Animal Health,"9,800",71,"$4,765",45.60%,-$472.00,-,"$16,483","$12,345"
629,Prologis,"2,053",-45,"$4,759",7.20%,"$2,939.70",98.40%,"$58,486","$119,525"
630,Welltower,464,-69,"$4,742",3.00%,$336.10,-65.70%,"$34,910","$43,002"
631,Darling Ingredients,"9,900",29,"$4,741",32.70%,$650.90,119.30%,"$6,134","$12,987"
632,Juniper Networks,"10,191",-50,"$4,735",6.50%,$252.70,-2.00%,"$8,887","$11,987"
633,Gartner,"16,600",-21,"$4,734",15.50%,$793.60,197.50%,"$7,416","$24,477"
634,Par Pacific Holdings,"1,336",91,"$4,710",50.70%,-$81.30,-,"$2,570",$783
635,Hubbell,"18,300",-33,"$4,704",12.40%,$399.50,13.80%,"$5,282","$9,960"
636,CME Group,"3,480",-99,"$4,690",-4.00%,"$2,636.40",25.20%,"$196,780","$85,492"
637,Nexstar Media Group,"11,817",-61,"$4,648",3.30%,$834.60,2.90%,"$13,265","$7,728"
638,Tutor Perini,"7,800",-135,"$4,642",-12.70%,$91.90,-15.20%,"$4,725",$552
639,Antero Resources,519,33,"$4,619",32.30%,-$186.90,-,"$13,897","$9,608"
640,Teledyne Technologies,"14,500",92,"$4,614",49.50%,$445.30,10.80%,"$14,430","$22,103"
641,Snap-on,"12,800",-18,"$4,602",16.70%,$820.50,30.90%,"$6,760","$10,976"
642,Rent-A-Center,"14,290",138,"$4,584",62.90%,$134.90,-35.20%,"$2,993","$1,487"
643,Covetrus,"4,873",-50,"$4,575",5.40%,-$54.00,-,"$3,410","$2,319"
644,Crestwood Equity Partners,645,260,"$4,569",102.70%,-$78.50,-,"$4,446","$2,932"
645,Louisiana-Pacific,"4,800",142,"$4,553",63.30%,"$1,377.00",176.00%,"$2,194","$5,344"
646,Urban Outfitters,"16,330",32,"$4,549",31.90%,$310.60,25030.70%,"$3,791","$2,421"
647,Penn Mutual Life Insurance,"3,194",2,"$4,546",22.80%,$522.90,82.20%,"$44,191",-
648,Amerco,"22,052",-28,"$4,542",14.20%,$610.90,38.20%,"$14,652","$11,705"
649,TriNet Group,"2,800",-31,"$4,540",12.50%,$338.00,24.30%,"$3,309","$6,483"
650,Sentry Insurance Group,"4,064",8,"$4,526",26.20%,$739.90,266.70%,"$23,881",-
651,Illumina,"10,775",55,"$4,526",39.70%,$762.00,16.20%,"$15,217","$54,856"
652,Iron Mountain,"25,000",-47,"$4,492",8.30%,$450.20,31.40%,"$14,450","$16,060"
653,LCI Industries,"13,900",131,"$4,473",60.00%,$287.70,81.60%,"$3,288","$2,625"
654,Marvell Technology,"6,712",-,"$4,462",50.30%,-$421.00,-,"$22,109","$60,796"
655,PennyMac Financial Services,"7,208",-88,"$4,450",-1.90%,"$1,003.50",-39.10%,"$18,777","$2,949"
656,Digital Realty Trust,"3,030",-29,"$4,428",13.40%,"$1,709.30",379.60%,"$36,370","$40,338"
657,TreeHouse Foods,"10,000",-93,"$4,406",-3.60%,-$12.50,-190.60%,"$5,207","$1,800"
658,Ralph Lauren,"16,200",-208,"$4,401",-28.60%,-$121.10,-131.50%,"$7,888","$8,073"
659,Mattress Firm Group,"8,900",-,"$4,393",34.90%,-$165.10,-231.40%,"$3,539",-
660,American National Group,"4,545",-24,"$4,392",15.80%,$699.30,49.60%,"$31,320","$5,084"
661,Autodesk,"12,600",-24,"$4,386",15.70%,$497.00,-58.90%,"$8,607","$46,580"
662,Domino's Pizza,"10,450",-52,"$4,357",5.80%,$510.50,3.90%,"$1,672","$14,666"
663,ASGN,"3,900",-41,"$4,334",9.70%,$409.90,104.60%,"$3,503","$6,022"
664,Flowers Foods,"8,900",-76,"$4,331",-1.30%,$206.20,35.40%,"$3,253","$5,439"
665,BlueLinx Holdings,"2,045",62,"$4,277",38.10%,$296.10,266.10%,"$1,318",$700
666,Palo Alto Networks,"10,473",16,"$4,256",24.90%,-$498.90,-,"$10,242","$61,308"
667,Maximus,"35,800",10,"$4,255",22.90%,$291.20,35.80%,"$4,119","$4,641"
668,Dentsply Sirona,"15,000",23,"$4,251",27.20%,$421.00,-,"$9,220","$10,708"
669,Hub Group,"4,700",2,"$4,232",21.10%,$171.50,133.10%,"$2,437","$2,679"
670,Voya Financial,"5,970",-338,"$4,230",-53.70%,"$2,126.00",-,"$171,262","$7,042"
670,Bread Financial Holdings,"6,000",-101,"$4,230",-6.40%,$801.00,274.80%,"$21,746","$2,805"
672,Weis Markets,"24,000",-61,"$4,224",2.70%,$108.80,-8.50%,"$1,911","$1,921"
673,Century Communities,"1,600",44,"$4,216",33.40%,$498.50,141.80%,"$3,497","$1,783"
674,Synopsys,"16,361",-23,"$4,204",14.10%,$757.50,14.00%,"$8,752","$51,023"
675,Brink's,"73,350",-25,"$4,200",13.80%,$105.20,557.50%,"$5,567","$3,234"
676,Lennox International,"11,000",-23,"$4,194",15.40%,$464.00,30.20%,"$2,172","$9,447"
677,Service Corp. International,"20,840",-7,"$4,143",18.00%,$802.90,55.60%,"$15,691","$10,581"
678,Conduent,"60,000",-74,"$4,140",-0.60%,-$28.00,-,"$4,036","$1,112"
679,Timken,"18,029",-10,"$4,133",17.60%,$369.10,29.70%,"$5,171","$4,540"
680,Domtar,"6,100",-127,"$4,132",-11.10%,-$27.00,-,"$4,854",-
681,Bloomin' Brands,"82,000",33,"$4,122",30.00%,$215.60,-,"$3,294","$1,967"
682,CNO Financial Group,"3,350",-50,"$4,122",7.90%,$441.00,46.10%,"$36,204","$2,946"
683,Snap,"5,661",156,"$4,117",64.20%,-$488.00,-,"$7,536","$58,458"
684,Zoom Video Communications,"6,787",126,"$4,100",54.60%,"$1,375.60",104.60%,"$7,551","$35,066"
685,Patrick Industries,"11,000",159,"$4,078",64.00%,$224.90,131.70%,"$2,651","$1,408"
686,Paychex,"15,000",-69,"$4,057",0.40%,"$1,097.50",-0.10%,"$9,227","$49,268"
687,Atlas Air Worldwide Holdings,"4,056",21,"$4,031",25.50%,$493.30,36.90%,"$6,443","$2,523"
688,Bright Health Group,"3,203",-,"$4,029",233.70%,"-$1,184.90",-,"$3,598","$1,214"
689,Peloton Interactive,"8,662",-,"$4,022",120.30%,-$189.00,-,"$4,486","$8,761"
690,Country Financial,"3,149",164,"$4,016",65.30%,$419.20,47.40%,"$16,327",-
691,Qorvo,"8,750",14,"$4,015",24.00%,$733.60,119.40%,"$7,222","$13,456"
692,Catalent,"17,300",36,"$3,998",29.20%,$585.00,165.10%,"$9,112","$19,863"
693,Mercury General,"4,300",-55,"$3,993",5.50%,$247.90,-33.80%,"$6,773","$3,045"
694,AMN Healthcare Services,"3,800",168,"$3,984",66.40%,$327.40,363.30%,"$3,132","$4,796"
695,Tri Pointe Homes,"1,390",5,"$3,982",22.10%,$469.30,66.30%,"$4,336","$2,160"
696,ArcBest,"14,000",59,"$3,980",35.40%,$213.50,200.30%,"$2,113","$1,980"
697,Toro,"10,982",-10,"$3,960",17.20%,$409.90,24.30%,"$2,936","$8,937"
698,Spirit AeroSystems Holdings,"16,100",-14,"$3,953",16.10%,-$540.80,-,"$7,737","$5,131"
699,Align Technology,"22,540",151,"$3,953",59.90%,$772.00,-56.50%,"$5,942","$34,355"
700,loanDepot,"11,307",-117,"$3,943",-11.30%,$113.50,-94.40%,"$11,812","$1,290"
701,APi Group,"13,300",-45,"$3,940",9.80%,$47.00,-,"$5,159","$4,891"
702,American Water Works,"6,400",-62,"$3,930",4.10%,"$1,263.00",78.10%,"$26,075","$30,086"
703,Matson,"4,259",163,"$3,925",64.70%,$927.40,380.30%,"$3,693","$4,928"
704,Diebold Nixdorf,"22,000",-76,"$3,905",0.10%,-$78.80,-,"$3,507",$531
705,Marriott Vacations Worldwide,"20,300",64,"$3,890",34.80%,$49.00,-,"$9,613","$6,620"
706,Terex,"8,600",29,"$3,887",26.10%,$220.90,-,"$2,864","$2,486"
707,Sally Beauty Holdings,"29,000",-39,"$3,875",10.30%,$239.90,111.80%,"$2,847","$1,721"
708,Enovis,"16,200",29,"$3,854",25.50%,$71.70,68.10%,"$8,515","$6,419"
709,IAC/InterActiveCorp,"13,200",31,"$3,845",26.20%,$597.50,121.50%,"$12,300","$9,001"
710,Meritor,"9,600",32,"$3,833",25.90%,$199.00,-18.80%,"$2,938","$2,519"
711,Ventas,434,-77,"$3,828",0.90%,$49.00,-88.80%,"$24,718","$24,676"
712,GoDaddy,"6,611",-15,"$3,816",15.00%,$242.30,-,"$7,417","$14,019"
713,Regal Rexnord,"30,000",50,"$3,810",31.10%,$209.90,10.90%,"$10,282","$10,002"
714,Puget Energy,"3,185",-19,"$3,806",14.40%,$260.80,42.80%,"$15,872",-
715,Clean Harbors,"18,300",6,"$3,806",21.00%,$203.20,50.70%,"$5,654","$6,074"
716,Pinnacle West Capital,"5,872",-59,"$3,804",6.00%,$618.70,12.40%,"$22,003","$8,820"
717,eXp World Holdings,"1,669",-,"$3,771",109.70%,$81.20,160.90%,$414,"$3,149"
718,Mueller Industries,"5,337",143,"$3,769",57.20%,$468.50,235.90%,"$1,729","$3,100"
719,Wynn Resorts,"26,950",221,"$3,764",79.60%,-$755.80,-,"$12,531","$9,243"
720,RH,"6,100",57,"$3,759",32.00%,$688.50,153.30%,"$5,541","$7,079"
721,EPAM Systems,"58,824",87,"$3,758",41.30%,$481.70,47.20%,"$3,523","$16,871"
722,M/I Homes,"1,657",19,"$3,746",23.00%,$396.90,65.40%,"$3,240","$1,262"
723,Generac Holdings,"9,248",122,"$3,737",50.40%,$550.50,57.00%,"$4,878","$18,960"
724,Mettler-Toledo International,"16,700",10,"$3,718",20.50%,$769.00,27.60%,"$3,327","$31,220"
725,Abercrombie & Fitch,"19,250",-1,"$3,713",18.80%,$263.00,-,"$2,940","$1,620"
726,Teradyne,"5,900",-,"$3,703",18.60%,"$1,014.60",29.40%,"$3,809","$19,203"
727,American Equity Investment Life Holding,850,130,"$3,690",52.20%,$474.00,-29.40%,"$78,349","$3,869"
728,Southwest Gas Holdings,"12,720",-30,"$3,681",11.60%,$200.80,-13.60%,"$12,765","$5,234"
729,Pitney Bowes,"11,500",-65,"$3,674",3.40%,-$1.40,-,"$4,959",$900
730,Lamb Weston Holdings,"7,800",-95,"$3,671",-3.20%,$317.80,-13.10%,"$4,209","$8,699"
731,Alliant Energy,"3,313",-51,"$3,669",7.40%,$659.00,7.30%,"$18,553","$15,671"
732,Resolute Forest Products,"6,900",51,"$3,664",30.90%,$307.00,2970.00%,"$3,538",$992
733,Parsons,"15,500",-108,"$3,661",-6.60%,$64.10,-35.00%,"$3,831","$4,012"
734,Trimble,"11,931",-14,"$3,659",16.20%,$492.70,26.40%,"$7,100","$18,123"
735,OGE Energy,"2,185",198,"$3,654",72.20%,$737.30,-,"$12,606","$8,164"
736,Garrett Motion,"7,600",7,"$3,633",19.70%,-,-,"$2,706",$464
737,Winnebago Industries,"6,532",140,"$3,630",54.10%,$281.90,358.80%,"$2,063","$1,771"
738,Ciena,"7,205",-72,"$3,621",2.50%,$500.20,38.40%,"$4,865","$9,223"
739,PriceSmart,"10,400",-45,"$3,620",8.70%,$98.00,25.40%,"$1,706","$2,434"
740,Advantage Solutions,"45,000",-22,"$3,602",14.20%,$54.50,-,"$5,854","$2,030"
741,H&R Block,"38,000",70,"$3,589",35.90%,$683.90,-,"$4,014","$4,285"
742,iHeartMedia,"9,990",11,"$3,558",20.70%,-$159.20,-,"$8,881","$2,728"
743,Super Micro Computer,"4,155",-50,"$3,557",6.50%,$111.90,32.70%,"$2,242","$1,963"
744,Flowserve,"16,000",-101,"$3,541",-5.00%,$125.90,-3.40%,"$4,750","$4,681"
745,Charles River Laboratories International,"19,300",15,"$3,540",21.10%,$391.00,7.30%,"$7,024","$14,425"
746,A.O. Smith,"13,700",21,"$3,539",22.20%,$487.10,41.20%,"$3,474","$10,032"
747,New Residential Investment,"12,296",-,"$3,533",512.80%,$772.20,-,"$39,742","$5,125"
748,Medical Mutual of Ohio,"2,834",-81,"$3,515",-0.30%,$78.30,-22.00%,"$2,646",-
749,Granite Construction,"2,600",-86,"$3,502",-1.70%,$10.10,-,"$2,495","$1,505"
750,Valmont Industries,"11,041",16,"$3,502",20.90%,$195.60,39.00%,"$3,447","$5,083"
751,Sprague Resources,757,135,"$3,498",49.80%,-$68.90,-303.80%,"$1,418",$434
752,Primoris Services,"10,810",-79,"$3,498",0.20%,$115.60,10.10%,"$2,543","$1,270"
753,Cboe Global Markets,"1,196",-74,"$3,495",2.00%,$529.00,13.00%,"$6,815","$12,148"
754,Carter's,"15,900",-9,"$3,486",15.30%,$339.70,209.70%,"$3,202","$3,763"
755,TopBuild,"13,006",40,"$3,486",28.30%,$324.00,31.20%,"$4,259","$5,987"
756,SiteOne Landscape Supply,"5,475",46,"$3,476",28.50%,$238.40,96.50%,"$2,116","$7,256"
757,Texas Roadhouse,"73,300",103,"$3,464",44.40%,$245.30,684.80%,"$2,512","$5,788"
758,Akamai Technologies,"8,700",-47,"$3,461",8.20%,$651.60,17.00%,"$8,139","$19,210"
759,Acuity Brands,"13,000",-63,"$3,461",4.00%,$306.30,23.40%,"$3,575","$6,629"
759,Brown-Forman,"4,700",-70,"$3,461",2.90%,$903.00,9.20%,"$6,522","$31,377"
761,Navient,"5,263",-117,"$3,454",-7.30%,$717.00,74.00%,"$80,605","$2,592"
762,Coterra Energy,936,-,"$3,449",135.20%,"$1,158.00",477.50%,"$19,900","$21,872"
763,Option Care Health,"6,334",-19,"$3,439",13.40%,$139.90,-,"$2,791","$5,139"
764,Floor & Decor Holdings,"9,276",92,"$3,434",41.50%,$283.20,45.30%,"$3,731","$8,574"
765,Public Storage,"5,800",-3,"$3,416",17.20%,"$1,953.30",43.90%,"$17,381","$68,438"
766,Cabot,"4,500",47,"$3,409",30.40%,$250.00,-,"$3,306","$3,871"
767,Crane Holdings,"11,000",-10,"$3,408",16.00%,$435.40,140.60%,"$4,487","$6,159"
768,Atmos Energy,"4,684",10,"$3,408",20.80%,$665.60,10.70%,"$19,609","$16,183"
769,Selective Insurance Group,"2,440",-8,"$3,379",15.60%,$403.80,63.90%,"$10,461","$5,392"
770,Take-Two Interactive Software,"6,495",-40,"$3,373",9.20%,$588.90,45.60%,"$6,028","$17,744"
771,Boyd Gaming,"15,114",145,"$3,370",54.70%,$463.80,-,"$6,224","$7,234"
772,Plexus,"19,200",-87,"$3,369",-0.60%,$138.90,18.20%,"$2,462","$2,299"
773,ScanSource,"2,200",-118,"$3,364",-6.80%,$10.80,-,"$1,672",$891
774,Franchise Group,"11,895",150,"$3,363",56.20%,$363.80,1351.40%,"$3,913","$1,670"
775,NLV Financial,"1,157",48,"$3,351",30.20%,$392.10,102.50%,"$41,942",-
776,CrossAmerica Partners,"2,218",-,"$3,351",87.10%,$21.70,-79.80%,"$1,270",$827
777,Mr. Cooper Group,"8,200",15,"$3,344",22.40%,"$1,454.00",376.70%,"$14,204","$3,369"
778,Fortinet,"10,195",38,"$3,342",28.80%,$606.80,24.20%,"$5,919","$54,957"
779,Brinker International,"59,491",-43,"$3,338",8.40%,$131.60,439.30%,"$2,275","$1,702"
780,Albemarle,"6,000",-57,"$3,328",6.40%,$123.70,-67.10%,"$10,974","$25,899"
781,Peabody Energy,"4,900",-9,"$3,318",15.20%,$360.10,-,"$4,950","$3,392"
782,Light & Wonder,"5,600",12,"$3,310",21.50%,$371.00,-,"$7,883","$5,680"
783,Evercore,"1,940",116,"$3,307",44.70%,$740.10,111.10%,"$3,803","$4,275"
784,Stewart Information Services,"7,300",114,"$3,306",44.50%,$323.20,108.70%,"$2,813","$1,635"
785,Central Garden & Pet,"6,750",19,"$3,304",22.60%,$151.70,25.70%,"$3,117","$2,287"
786,GMS,"5,843",-83,"$3,299",1.80%,$105.60,351.50%,"$2,484","$2,142"
787,H.B. Fuller,"6,500",-1,"$3,278",17.50%,$161.40,30.50%,"$4,275","$3,505"
788,Middleby,"10,624",49,"$3,251",29.30%,$488.50,135.70%,"$6,384","$8,961"
789,Renewable Energy Group,"1,196",139,"$3,244",51.80%,$213.80,74.10%,"$2,559","$3,056"
790,MSC Industrial Direct,"6,472",-78,"$3,243",1.60%,$216.90,-13.60%,"$2,462","$4,758"
791,Vishay Intertechnology,"22,800",49,"$3,241",29.50%,$298.00,142.40%,"$3,543","$2,840"
792,Applied Industrial Technologies,"5,947",-91,"$3,236",-0.30%,$144.80,502.10%,"$2,272","$3,948"
793,Lincoln Electric Holdings,"11,000",16,"$3,234",21.80%,$276.50,34.10%,"$2,592","$8,079"
794,First Horizon,"7,676",-108,"$3,234",-4.60%,$999.00,18.20%,"$89,092","$12,543"
795,Spirit Airlines,"9,823",-,"$3,231",78.50%,-$472.60,-,"$8,540","$2,375"
796,AptarGroup,"13,000",-37,"$3,227",10.20%,$244.10,14.00%,"$4,141","$7,703"
797,Citrix Systems,"9,700",-90,"$3,217",-0.60%,$307.50,-39.00%,"$6,976","$12,705"
798,IDEXX Laboratories,"10,350",2,"$3,215",18.80%,$744.80,28.00%,"$2,437","$46,089"
799,Tetra Tech,"21,000",-51,"$3,214",7.30%,$232.80,33.90%,"$2,577","$8,907"
800,Lyft,"4,453",75,"$3,208",35.70%,"-$1,009.40",-,"$4,774","$13,385"
801,Gannett,"16,300",-118,"$3,208",-5.80%,-$135.00,-,"$2,828",$644
802,ResMed,"7,970",-51,"$3,197",8.10%,$474.50,-23.70%,"$4,728","$35,463"
803,Designer Brands,"13,500",104,"$3,197",43.00%,$154.50,-,"$2,015",$991
804,Graham Holdings,"15,048",-36,"$3,186",10.30%,$352.10,17.20%,"$7,426","$3,001"
805,Vroom,"1,807",-,"$3,184",134.50%,-$370.90,-,"$2,367",$365
806,Worthington Industries,"9,000",-68,"$3,171",3.70%,$723.80,818.60%,"$3,373","$2,538"
807,Calumet Specialty Products Partners,"1,450",96,"$3,148",38.80%,-$260.10,-,"$2,128","$1,071"
808,Xilinx,"4,890",-92,"$3,148",-0.50%,$646.50,-18.40%,"$5,519",-
809,TransUnion,"10,200",-13,"$3,145",15.80%,"$1,387.10",304.20%,"$12,635","$19,883"
810,Travel + Leisure,"16,800",112,"$3,134",45.10%,$308.00,-,"$6,588","$4,966"
811,Callaway Golf,"24,800",-,"$3,133",97.10%,$322.00,-,"$7,748","$4,337"
812,Dycom Industries,"15,024",-102,"$3,131",-2.10%,$48.60,41.50%,"$2,118","$2,821"
813,Columbia Sportswear,"8,325",28,"$3,126",25.00%,$354.10,227.80%,"$3,067","$5,840"
814,II-VI,"22,961",54,"$3,106",30.50%,$297.60,-,"$6,513","$7,708"
815,Change Healthcare,"15,000",-,"$3,090",1470.40%,-$112.20,-,"$10,113","$6,799"
816,Grocery Outlet Holding,875,-94,"$3,080",-1.80%,$62.30,-41.60%,"$2,670","$3,148"
